Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,1uF,C_0603_1608Metric,163.970000,-113.777000,-90.000000,top
C14,1uF,C_0603_1608Metric,169.558000,-113.777000,-90.000000,top
C15,100nF,C_0603_1608Metric,160.795000,-125.334000,90.000000,top
C16,10uF,C_1206_3216Metric,162.827000,-126.096000,-90.000000,top
C17,100nF,C_0603_1608Metric,159.271000,-125.334000,90.000000,top
D2,SS14,D_SMA,162.192000,-117.460000,180.000000,top
J7,XUNPU TYPEC-304S-ACP16 ,USB_C_Receptacle_XUNPU_TYPEC-304S-ACP16,153.000000,-120.000000,-90.000000,top
Q6,S8050_correctpins,SOT-23,174.130000,-120.000000,0.000000,top
Q7,S8050_correctpins,SOT-23,174.130000,-125.080000,0.000000,top
R24,5.1K,R_0603_1608Metric,153.175000,-112.253000,90.000000,top
R25,5.1K,R_0603_1608Metric,154.699000,-112.253000,90.000000,top
R26,470R,R_0603_1608Metric,166.764000,-117.460000,-90.000000,top
R27,12k,R_0603_1608Metric,174.067000,-117.460000,0.000000,top
R28,12k,R_0603_1608Metric,174.130000,-122.540000,0.000000,top
U4,TLV75533PDBVR,SOT-23-5,166.764000,-113.396000,0.000000,top
U5,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,167.272000,-122.540000,0.000000,top
